Name	Team	GP	G	A	PTS	GWG	OTG	First	Insurance	PTS/G
Gogolev, Pavel	GUE	37	10	18	28	4	2	1	0	0.76
Johnson, Bradey	NIAG	68	11	16	27	3	0	0	2	0.40
Pilon, Drake	SBY	55	10	17	27	4	0	1	0	0.49
Vierling, Evan	FLNT	60	6	21	27	0	0	1	1	0.45
Paquette, Jacob	NIAG	59	4	23	27	0	0	0	0	0.46
Butler, Cameron	PBO	64	18	8	26	1	0	2	1	0.41
Goldowski, Jake	SAG	65	13	13	26	1	0	4	3	0.40
Cotter, Paul	LDN	48	9	17	26	0	0	0	4	0.54
Sebrango, Donovan	KIT	62	7	19	26	1	0	0	0	0.42
Hunter, Drew	NIAG	51	5	21	26	0	0	1	0	0.51
Phillips, Markus	GUE	62	5	21	26	1	0	1	0	0.42
Gallant, Zach	PBO	30	13	12	25	2	0	2	1	0.83
Wong, Nick	KGN	66	13	12	25	3	0	2	0	0.38
Popov, Sergey	OS	47	10	15	25	1	0	0	1	0.53
Robinson, Cade	OS	68	9	16	25	2	0	3	0	0.37
Čermák, Erik	PBO	68	8	17	25	0	0	0	0	0.37
MacPherson, Justin	KIT	65	4	21	25	0	0	1	0	0.38
Millman, Mason	SAG	66	3	22	25	1	0	0	1	0.38
Tortora, Jacob	BAR	33	16	8	24	1	0	2	2	0.73
Russell, Mitchell	NB	65	13	11	24	3	0	2	0	0.37
Hotchkiss, Matt	KGN	57	8	16	24	0	0	3	1	0.42
Kartye, Tye	SSM	64	4	20	24	1	0	1	0	0.38
Timms, Matthew	LDN	35	1	23	24	0	0	0	0	0.69
Duhart, Dalton	BAR	64	11	12	23	2	0	1	1	0.36
Foerster, Tyson	BAR	64	10	13	23	0	0	2	0	0.36
Clarke, C.J.	MISS	70	10	13	23	0	0	4	0	0.33
Kerins, Rory	SSM	57	9	14	23	0	0	3	1	0.40
Frasca, Jordan	WSR	60	9	14	23	2	0	1	0	0.38
Baber, Camaryn	SAG	48	8	15	23	0	0	1	1	0.48
Brahaney, Jakob	KGN	66	5	18	23	0	0	1	0	0.35
Robertson, Carter	OS	66	2	21	23	0	0	1	1	0.35
Hardie, James	MISS	62	15	7	22	2	0	2	1	0.35
Hillis, Cam	GUE	33	10	12	22	1	0	0	1	0.67
Stepien, Ryan	KIT	56	8	14	22	1	0	1	2	0.39
O'Rourke, Ryan	SSM	62	8	14	22	3	0	0	1	0.35
Canade, Nicholas	MISS	63	6	16	22	1	0	0	0	0.35
Rose, Simon	NB	57	3	19	22	0	0	0	0	0.39
Calvas, Theo	NB	65	3	19	22	0	0	1	0	0.34
Henault, Louka	WSR	66	2	20	22	0	0	1	0	0.33
Egert, Curtis	SAR	64	14	7	21	0	0	1	0	0.33
Mack, Joseph	ER	67	11	10	21	0	0	0	0	0.31
Winterton, Jacob	FLNT	67	11	10	21	0	0	3	0	0.31
Gritz, Alex	ER	53	10	11	21	0	0	2	0	0.40
Caines, Harrison	NB	56	9	12	21	1	0	0	2	0.38
Fleischer, Tim	HAM	68	8	13	21	1	0	2	0	0.31
Henry, Kurtis	ER	68	6	15	21	0	0	0	0	0.31
Fraser, Cole	PBO	60	5	16	21	1	0	0	1	0.35
Duff, Jack	ER	66	4	17	21	0	0	1	0	0.32
Playfair, Chris	WSR	49	10	10	20	3	0	5	0	0.41
Derungs, Ian	KGN	57	10	10	20	0	0	2	0	0.35
Gilhula, Owen	SBY	37	5	15	20	1	0	1	0	0.54
Valade, Reid	KIT	62	5	15	20	0	0	0	0	0.32
Allensen, Nathan	BAR	67	4	16	20	0	0	0	1	0.30
Gross, Nico	OSH	56	3	17	20	0	0	0	1	0.36
Pytlik, Jaromir	SSM	26	11	8	19	1	0	2	0	0.73
Van Loon, Liam	HAM	54	9	10	19	1	0	1	0	0.35
Bignell, Luke	BAR	68	9	10	19	1	0	4	0	0.28
Maier, David	NB	49	3	16	19	1	0	0	0	0.39
Wilson, Hudson	OTT	67	2	17	19	0	0	0	0	0.28
Grondin, Max	PBO	62	12	6	18	2	0	3	2	0.29
O'Grady, Reagan	SAG	55	10	8	18	1	0	0	1	0.33
Beraldo, Adrien	KGN	63	9	9	18	0	0	1	0	0.29
Poirier, Zach	OS	63	9	9	18	0	0	2	0	0.29
