Name	Team	GP	G	A	PTS	GWG	OTG	First	Insurance	PTS/G
Kannok Leipert, Alex	VAN	60	5	16	21	1	0	1	0	0.35
Sheen, Barrett	MJ	60	5	16	21	0	0	2	0	0.35
De Wit, Jeff	VIC	43	11	9	20	0	0	1	2	0.47
Williams, Josh	MH	47	11	9	20	2	0	1	2	0.43
Nachbaur, Justin	PA	66	9	11	20	1	0	3	0	0.30
Pratt, Austin	REG	60	7	13	20	2	0	3	0	0.33
Gilliss, Lane	POR	65	7	13	20	0	0	1	0	0.31
Barlage, Logan	LET	71	7	13	20	3	0	0	0	0.28
Fiala, Evan	SAS	71	7	13	20	3	1	0	0	0.28
Ramsay, Gage	SAS	63	6	14	20	0	0	2	0	0.32
Gabrielle, Jesse	REG	27	13	6	19	2	0	2	0	0.70
Vandervlis, Ryan	LET	19	11	8	19	4	0	2	1	1.00
Wegleitner, Gunnar	BDN	57	10	9	19	2	0	4	1	0.33
Fafrak, Milos	SPO	66	9	10	19	0	0	1	0	0.29
Kohler, Gilian	KTN	55	8	11	19	2	0	0	0	0.35
Ginnell, Brad	KTN	61	8	11	19	1	0	1	0	0.31
Daley, Caiden	BDN	69	7	12	19	1	0	0	0	0.28
Chizen, Braydyn	KEL	61	6	13	19	1	0	0	1	0.31
Denomie, Carson	KAM	66	6	13	19	1	0	0	0	0.29
Sapego, Sergei	PA	44	4	15	19	0	0	0	0	0.43
Hines, Dallas	KTN	59	4	15	19	1	0	1	2	0.32
Zabransky, Libor	KEL	72	2	17	19	0	0	1	0	0.26
Kambeitz, Dino	VIC	69	11	7	18	1	0	2	3	0.26
O'Rourke, Ethan	EVT	66	6	12	18	1	0	2	0	0.27
Zimmerman, Cael	CGY	66	6	12	18	1	0	0	0	0.27
Olson, Kyle	TC	36	4	14	18	0	0	1	0	0.50
Kustra, Jake	SAS	71	4	14	18	2	1	0	0	0.25
Gerla, Ty	EDM	59	3	15	18	0	0	0	0	0.31
Zamula, Egor	CGY	69	2	16	18	0	0	0	0	0.26
Herauf, Jacob	RD	70	2	16	18	1	0	1	0	0.26
Prowse, Mitch	VIC	71	1	17	18	0	0	0	0	0.25
Jensen, Kade	VIC	58	7	10	17	1	0	0	1	0.29
Faith, Jeff	SPO	60	5	12	17	0	0	0	0	0.28
Onyebuchi, Montana	KAM	62	4	13	17	1	0	1	0	0.27
Hayes, Zack	PA	71	3	14	17	1	0	0	1	0.24
